,laptop name,GPU,Main Memory,Secondary Memory,Screen Dimension,Weight
0,"Dell Alienware M17 R3 (2020) 17.3"" Intel Core i9-10980HK 2.4GHz ", 32GB RAM , 4TB SSD + 512GB SSD,,"17.3""",2.97kg
1,"Lenovo ThinkPad X1 Carbon Gen 9 14"" Intel Core i5-1135G7 2.4GHz ", 8GB RAM , 256GB SSD,,"14""",1.13kg
2,"MSI Crosshair 15 A11UEK-205 15.6"" FHD Intel Core i7-11800H 2.4GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.1kg
3,"Asus TUF Gaming A15 FA506QM 15.6"" AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.3kg
4,"Razer Blade 15 Advanced (2020) 15.6"" OLED Intel Core i7-10875H 2.3GHz ", 16GB RAM , 1TB SSD,,"15.6""",2.2kg
5,"HP Victus 15-fb0000np 15.6"" AMD Ryzen 5 5600H 3.3GHz ", AMD Radeon RX 6500M , 8GB RAM , 512GB SSD,"15.6""",2.29kg
6,"Dell Latitude 7410 14"" Intel Core i7-10810U 1.1GHz ", 16GB RAM , 256GB SSD,,"14""",1.46kg
7,"MSI Katana GF66 12UE	15.6"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.25kg
8,"Lenovo ThinkBook 15 Gen 4 15.6"" FHD Intel Core i3-1215U 1.2GHz ", 8GB RAM , 256GB SSD,,"15.6""",1.7kg
9,"LG Gram (2023) 14Z90R 14"" WUXGA Intel Core i5-1340P 1.9GHz ", 8GB RAM , 512GB SSD,,"14""",997 g
10,"Dell Alienware M15 R3 (2020) 15.6"" Intel Core i9-10980HK 2.4GHz ", 32GB RAM , 4TB SSD + 512GB SSD,,"15.6""",2.5kg
11,"HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 Pro 6850HS 3.2GHz ", 64GB RAM , 2TB SSD,,"16""",1.74kg
12,"MSI GF63 Thin 12VF 15.6"" FHD Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 512GB SSD,"15.6""",1.86kg
13,"HP EliteBook 840 G7 14"" Intel Core i5-10310U 1.7GHz ", 8GB RAM , 256GB SSD,,"14""",1.34kg
