,A,B,laptop name,GPU,Main Memory,Secondary Memory,Screen Dimension,Weight
0,0.0,0.0,,,,,,
1,1.0,2.0,,,,,,
2,2.0,4.0,,,,,,
3,3.0,6.0,,,,,,
4,4.0,8.0,,,,,,
5,,,"Gigabyte Aero 15 Classic XA 15.6"" Intel Core i7-9750H 2.6GHz ", Nvidia GeForce RTX 2070 Max-Q Laptop , 16GB RAM , 512GB SSD,"15.6""",2kg
6,,,"MSI Sword 15 A12UC 014TW 15.6"" FHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Laptop , 8GB RAM , 512GB SSD,"15.6""",2.25kg
7,,,"Acer Nitro 5 (2023) 15.6"" Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"15.6""",16GB
8,,,"HP Elite Dragonfly G3 13.5"" WUXGA Plus Intel Core i5-1245U 1.6GHz ", 16GB RAM , 1TB SSD,,"13.5""",997 g
9,,,"Acer Spin 5 (2020) 13.5"" Intel Core i5-1035G4 1.1GHz ", 16GB RAM , 512GB SSD,,"13.5""",1.2kg
10,,,"HP EliteBook x360 830 G7 13.3"" Intel Core i5-10210U 1.6GHz ", 8GB RAM , 256GB SSD,,"13.3""",1.31kg
11,,,Lenovo ThinkPad X12 Detachable Intel Core i7-1180G7 1.3GHz , 16GB RAM , 1TB SSD,,"12.3""",1.2kg
12,,,"Lenovo ThinkPad E16 Gen 1 16"" WUXGA AMD Ryzen 5 7530U 2GHz ", 24GB RAM , 512GB SSD + 1TB SSD,,"16""",1.97kg
13,,,"Acer Nitro V 15 (2023) 15.6"" Intel Core i7-13620H 2.4GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.11kg
14,,,"Dell G7-7588-U30 15.6"" Intel Core i7 8750H 2.2GHz ", 16GB RAM , 256GB SSD + 1TB HDD,,"15.6""",2.86kg
15,,,"Lenovo ThinkPad P53 15.6"" FHD Intel Core i7-9750H 2.6GHz ", 16GB RAM , 256GB SSD,,"15.6""",2.5kg
16,,,"Dell Alienware M17 R3 (2020) 17.3"" Intel Core i9-10980HK 2.4GHz ", 32GB RAM , 4TB SSD + 512GB SSD,,"17.3""",2.97kg
17,,,"MSI Katana GF66 12UD 041 15.6"" FHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 8GB RAM , 512GB SSD,"15.6""",2.25kg
18,,,"HP ZBook Firefly G8 14"" Intel Core i7-1165G7 2.8GHz ", Nvidia T500 , 32GB RAM , 1TB SSD,"14""",1.35kg
19,,,"Dell G15 5530 (2023) 15.6"" FHD Intel Core i5-13450HX 2.4Ghz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.65kg
20,,,"Lenovo IdeaPad Flex 5 Gen 8 14"" WUXGA AMD Ryzen 7 7730U 2GHz ", 8GB RAM , 512GB SSD,,"14""",1.55kg
21,,,"Lenovo Yoga 920 13.9"" Intel Core i7-8550U 1.8GHz ", 16GB , 1TB SSD,,"13.9""",1.37kg
22,,,"Asus ROG Zephyrus G14 GA401IH 14"" AMD Ryzen 5 4600HS 3GHz ", 8GB RAM , 512GB SSD,,"14""",1.6kg
23,,,Razer Book 13 Intel Core i7-1165G7 2.8GHz , 16GB RAM , 512GB SSD,,"13.4""",1.4kg
24,,,Lenovo ThinkPad P52 15.6” Intel Core i7-8750H 2.2GHz , 8GB RAM , 1TB HDD,,"15.6""",2.45kg
25,,,"Lenovo ThinkPad P52 15.6"" Intel Core i7-8750H 2.2GHz ", 64GB RAM , 1TB SSD,,"15.6""",2.45kg
26,,,"Asus Zenbook S 13 OLED (UX5304) 13.3"" Intel Core i7-1355U 1.7GHz ", 32GB RAM , 1TB SSD,,"13.3""",1kg
27,,,"Acer Aspire 5 15.6"" Intel Core i7-1165G7 2.8GHz ", 16GB RAM , 1TB SSD,,"15.6""",1.9kg
28,,,"MSI Cyborg 15 A12VF 15.6"" FHD Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 1TB SSD,"15.6""",1.98kg
29,,,"HP Victus 16-e0097nr 16.1"" AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"16.1""",2.47kg
30,,,"MSI Stealth 17M A12UE-015ES 17.3"" FHD Intel Core i7-1280P 1.8GHz ", Nvidia GeForce RTX 3060 Laptop , 32GB RAM , 1TB SSD,"17.3""",2.2kg
